artist_name,artist_slug,genius_artist_id,song_id,title,lyrics,url,featured_artists,english_only_text,n_english_lines,n_total_lines,english_ratio,english_word_count
Piotta,piotta,220806,4737684,Roma 2000 International,"Roma 2000 international
Roma 2000 international
International
]

Roma 2000, dumila stili coatti
Tutti poliglotti fatti pe' 'sta roba
Radioattivi stili, guardo il palco
Tutti i meglio vivi, lo sguardo in alto
Sveglio, altro che finzione, passione
Io rimo sciorto per la competizione
Sverto, fatte er nome, sfonna de brutto
Ar parucca vaie sotto, levaie tutto
Daje dapertutto, devi devastare come un compare
Robba coatta internazionale
Roba da sfornare, sfondare
Gente, nun parucca niente, monnezza pe' sempre

All you rats aimin' for the top gun
You scared of Kobb one
It's not your shotguns
As we 
So watch me volley like the 
No time for the vest nigga, kill like an army
 pussy  before 
Run up to my 
Expose your  and blow your ammo off the realness
Incarcerated in the abyss, the last disciple
For this rifle
Kobb D, I own the title

Zero parucca con Baretta
Robba Coatta, Roma 2000 poliglotta

You're not gonna survive in this game
You sound lame
Your lack of skills is the element to blame
I'mma make you realize
You wack as an MC
I really think you better skip the R&B
I'm a fly rhyme-saya, fuck romances
You try to beat me but you don't have no damn chances
I just keep doing it, i continue to flow
Still today rookies wanna stamp up to this pro
Maybe they're not concious of the risk they run
They paid the price of fuckin' with the serious one
'Cause I possess deadly capabilities and I'm
Ready to bring it to any rhyme cypha




International, international
International, international",https://genius.com/Piotta-roma-2000-international-lyrics,Turi; MC Giaime; Lascars; Kobb D; Djuba; Devon Martinez,"You scared of Kobb one
It's not your shotguns
So watch me volley like the
No time for the vest nigga, kill like an army
Expose your  and blow your ammo off the realness
Incarcerated in the abyss, the last disciple
For this rifle
Kobb D, I own the title
You're not gonna survive in this game
Your lack of skills is the element to blame
I'mma make you realize
You wack as an MC
I really think you better skip the R&B
I'm a fly rhyme-saya, fuck romances
You try to beat me but you don't have no damn chances
I just keep doing it, i continue to flow
Still today rookies wanna stamp up to this pro
Maybe they're not concious of the risk they run
They paid the price of fuckin' with the serious one
'Cause I possess deadly capabilities and I'm",20,45,0.4444444444444444,145
Thasup,thasup,1227429,5813179,0ffline,"​tha Supreme

Dovrei
Con la mia mente veramente staccare e andare offline
Dimmi perché sempre te, che non sei dei miei
Con la tua faccia da ""So tutto"", poi non sai mai un cazzo fra'
Dovrei
Dire a 'sta gente che non sente: ""Frate', appiccia 'sto blunt""
Mi vengon le coliche, bruh, di che? Ma okay
Non vali niente, quindi se qualcuno vale, non lo sai

Oh, ti prenderò rose
Che farai appassire se tra dire e fare ce ne vuole
E darai alle spine due o tre lire di motivazione
Ma mica al tuo amore, ma mica al tuo cuore detto ""Cuore di ice""
Se penso alle parole per potermi esprimere
Non mi esprimo e sembro un cantastorie
Quindi direi fine a questa fine che ci tiene a cuore
Ma non so se dire ""No"" oppure ""Sì"" oppure ""Boh"", yeah, yeah
Ma se vai su YouTube, quello parla di me
Che se parlo di ansia in blunt, non vuol dire ""Sto male""
E quante cose, professore, non ti ho mai detto
Non andavo a scuola, eppure in new school sono dentro
Ho consumato suole per le suore che fan le escort
Trasformo il dolore in do re mi e fa male lo stesso

Dovrei
Con la mia mente veramente staccare e andare offline
Dimmi perché sempre te, che non sei dei miei
Con la tua faccia da ""So tutto"", poi non sai mai un cazzo fra'
Dovrei
Dire a 'sta gente che non sente: ""Frate', appiccia 'sto blunt""
Mi vengon le coliche, bruh, di che? Ma okay
Non vali niente, quindi se qualcuno vale, non lo sai
(Yeah, yeah, yeah)

I get it, I know you love to hate me
I'm moving on, on-on, on-on
I get it, I know you'd like to date me
But you're wrong, wro-wrong, wro-wrong
I left her for the money, fair enough
Sorry, bitch, didn't really, really care enough
I'm sorry, girl, ya number's blocked
Stop, stop, stop, girl, you got dropped
You didn't believe me (Nope), you didn't trust me (Nope)
Well, I can guarantee it, you gonna put my music on (Haha)
I had some patience (Yeah), I found a cadence (Mhm)
I thought I'd never say it: ""Thank you all who did me wrong""
Well, I'll be honest, I ain't that sympathetic
Got a problem about givin' a shit, I'm apathetic
I'm eliter than the rest, and I know I'm hypothetic
We got no problem makin' a couple of big hits
So, I wouldn't sweat it, haha

Dovrei
Con la mia mente veramente staccare e andare offline
Dimmi perché sempre te, che non sei dei miei
Con la tua faccia da ""So tutto"", poi non sai mai un cazzo fra'
Dovrei
Dire a 'sta gente che non sente: ""Frate', appiccia 'sto blunt""
Mi vengon le coliche, bruh, di che? Ma okay
Non vali niente, quindi se qualcuno vale, non lo sai

Ho sbalzi di 'sto umore, come un ascensore
Dico: ""Sono sfranto da 'ste storie"", non vedo un colore
Ma venti in mezzo secondo brother
Ci faccio un quadro un po' malato, ce l'ho già in mente
Okay, e vuoi fare il rapper, quanto varrebbe?
Una tua canzone tipo le tette di una influencer
Non andavo a scuola ma sono la new school, quello vorrebbe
Quello corre, quello col rap me fa veni' lo stress

Dovrei
Con la mia mente veramente staccare e andare offline
Dimmi perché sempre te, che non sei dei miei
Con la tua faccia da ""So tutto"", poi non sai mai un cazzo fra'
Dovrei
Dire a 'sta gente che non sente: ""Frate', appiccia 'sto blunt""
Mi vengon le coliche, bruh, di che? Ma okay
Non vali niente, quindi se qualcuno vale, non lo sai

Uoh, oh, oh, oh, oh, bruh, di che? Ma okay
Non vali niente, quindi se qualcuno vale, non lo sai
Skrrt, tha Supreme",https://genius.com/Thasup-0ffline-lyrics,bbno$,"​tha Supreme
I get it, I know you love to hate me
I'm moving on, on-on, on-on
I get it, I know you'd like to date me
But you're wrong, wro-wrong, wro-wrong
I left her for the money, fair enough
Sorry, bitch, didn't really, really care enough
I'm sorry, girl, ya number's blocked
Stop, stop, stop, girl, you got dropped
You didn't believe me (Nope), you didn't trust me (Nope)
Well, I can guarantee it, you gonna put my music on (Haha)
I had some patience (Yeah), I found a cadence (Mhm)
I thought I'd never say it: ""Thank you all who did me wrong""
Well, I'll be honest, I ain't that sympathetic
Got a problem about givin' a shit, I'm apathetic
I'm eliter than the rest, and I know I'm hypothetic
We got no problem makin' a couple of big hits
So, I wouldn't sweat it, haha",18,76,0.23684210526315788,148
Måneskin,måneskin,1271279,3446542,Beggin’,"Put your lovin' hand out, baby
'Cause I'm beggin'

I'm beggin', beggin' you
So put your lovin' hand out, baby
I'm beggin', beggin' you
So put your loving hand out, darlin'

Ridin' high when I was king
I played it hard and fast 'cause I had everything
I walked away, you warned me then
But easy come and easy go, and it would end
So anytime I bleed, you let me go
Yeah, anytime I feed, you get me, no
Anytime I seek, you let me know
But I plant and seed, just let me go
I'm on my knees when I'm beggin'
'Cause I don't wanna lose you
Hey, yeah, ra-ta-ta-ta

'Cause I'm beggin', beggin' you
Uh, put your lovin' hand out, baby
I'm beggin', beggin' you
And put your lovin' hand out, darlin'

I need you to understand
Tried so hard to be your man
The kind of man you want in the end
Only then can I begin to live again

An empty shell, I used to be
The shadow of my life was hangin' over me
A broken man that I don't know
Won't even stand the devil's dance to win my soul
What we doin'? What we chasin'?
Why the bottom? Why the basement?
Why we got good shit, don't embrace it?
Why the feel for the need to replace me?
You're the wrong way track from the good
I wanna paint a picture tellin' where we could be at
Like a heart in the best way should
You can give it away, you had it, and you took the pay
But I keep walkin' on, keep openin' doors
Keep hopin' for, now the door is yours, keep also home
'Cause I don't wanna live in a broken home, girl, I'm beggin'

Mm, yeah, yeah, I'm beggin', beggin' you
So put your lovin' hand out, baby
I'm beggin', beggin' you
So put your lovin' hand out, darlin'

I'm fightin' hard to hold my own
Just can't make it all alone
I'm holdin' on, I can't fall back
I'm just a calm, 'bout to fade to black

I'm beggin', beggin' you
Put your lovin' hand out, baby
I'm beggin', beggin' you
So put your lovin' hand out, darlin'
I'm beggin', beggin' you
So put your lovin' hand out, baby
I'm beggin', beggin' you
So put your lovin' hand out, darlin'

I'm beggin', beggin' you
So put your lovin' hand out, baby
I'm beggin', beggin' you
So put your lovin' hand out",https://genius.com/Maneskin-beggin-lyrics,,"Put your lovin' hand out, baby
'Cause I'm beggin'
I'm beggin', beggin' you
So put your lovin' hand out, baby
I'm beggin', beggin' you
So put your loving hand out, darlin'
Ridin' high when I was king
I played it hard and fast 'cause I had everything
I walked away, you warned me then
But easy come and easy go, and it would end
So anytime I bleed, you let me go
Yeah, anytime I feed, you get me, no
Anytime I seek, you let me know
But I plant and seed, just let me go
I'm on my knees when I'm beggin'
'Cause I don't wanna lose you
'Cause I'm beggin', beggin' you
Uh, put your lovin' hand out, baby
I'm beggin', beggin' you
And put your lovin' hand out, darlin'
I need you to understand
The kind of man you want in the end
The shadow of my life was hangin' over me
A broken man that I don't know
Won't even stand the devil's dance to win my soul
Why we got good shit, don't embrace it?
Why the feel for the need to replace me?
You're the wrong way track from the good
I wanna paint a picture tellin' where we could be at
Like a heart in the best way should
You can give it away, you had it, and you took the pay
But I keep walkin' on, keep openin' doors
Keep hopin' for, now the door is yours, keep also home
'Cause I don't wanna live in a broken home, girl, I'm beggin'
Mm, yeah, yeah, I'm beggin', beggin' you
So put your lovin' hand out, baby
I'm beggin', beggin' you
So put your lovin' hand out, darlin'
I'm fightin' hard to hold my own
Just can't make it all alone
I'm holdin' on, I can't fall back
I'm just a calm, 'bout to fade to black
I'm beggin', beggin' you
Put your lovin' hand out, baby
I'm beggin', beggin' you
So put your lovin' hand out, darlin'
I'm beggin', beggin' you
So put your lovin' hand out, baby
I'm beggin', beggin' you
So put your lovin' hand out, darlin'
I'm beggin', beggin' you
So put your lovin' hand out, baby
I'm beggin', beggin' you
So put your lovin' hand out",54,60,0.9,378
Måneskin,måneskin,1271279,6594284,I WANNA BE YOUR SLAVE,"I wanna be your slave, I wanna be your master
I wanna make your heartbeat run like rollercoasters
I wanna be a good boy, I wanna be a gangster
'Cause you could be the beauty and I could be the monster
I love you since this morning, not just for aesthetic
I wanna touch your body, so fucking electric
I know you're scared of me, you say that I'm too eccentric
I'm crying all my tears and that's fucking pathetic
I wanna make you hungry, then I wanna feed ya
I wanna paint your face like you're my Mona Lisa
I wanna be a champion, I wanna be a loser
I'll evеn be a clown 'cause I just wanna amuse ya
I wanna bе your sex toy, I wanna be your teacher
I wanna be your sin, I wanna be a preacher
I wanna make you love me, then I wanna leave ya
'Cause, baby, I'm your David and you're my Goliath

Uh-huh
Mm, uh-huh

Because I'm the devil who's searching for redemption
And I'm a lawyer who's searching for redemption
And I'm a killer who's searching for redemption
I'm a motherfucking monster who's searching for redemption
And I'm a bad guy who's searching for redemption
And I'm a blonde girl who's searching for redemption
And I'm a freak that is searching for redemption
I'm a motherfucking monster who's searching for redemption

I wanna be your slave, I wanna be your master
I wanna make your heartbeat run like rollercoasters
I wanna be a good boy, I wanna be a gangster
'Cause you can be the beauty and I could be the monster
I wanna make you quiet, I wanna make you nervous
I wanna set you free but I'm too fucking jealous
I wanna pull your strings like you're my Telecaster
And if you want to use me, I could be your puppet

'Cause I'm the devil who's searching for redemption
And I'm a lawyer who's searching for redemption
And I'm a killer who's searching for redemption
I'm a motherfucking monster who's searching for redemption

I wanna be your slave, I wanna be your master",https://genius.com/Maneskin-i-wanna-be-your-slave-lyrics,,"I wanna make your heartbeat run like rollercoasters
'Cause you could be the beauty and I could be the monster
I love you since this morning, not just for aesthetic
I wanna touch your body, so fucking electric
I know you're scared of me, you say that I'm too eccentric
I'm crying all my tears and that's fucking pathetic
I wanna paint your face like you're my Mona Lisa
I wanna be a champion, I wanna be a loser
I'll evеn be a clown 'cause I just wanna amuse ya
'Cause, baby, I'm your David and you're my Goliath
Because I'm the devil who's searching for redemption
And I'm a lawyer who's searching for redemption
And I'm a killer who's searching for redemption
I'm a motherfucking monster who's searching for redemption
And I'm a bad guy who's searching for redemption
And I'm a blonde girl who's searching for redemption
And I'm a freak that is searching for redemption
I'm a motherfucking monster who's searching for redemption
I wanna make your heartbeat run like rollercoasters
'Cause you can be the beauty and I could be the monster
I wanna set you free but I'm too fucking jealous
I wanna pull your strings like you're my Telecaster
And if you want to use me, I could be your puppet
'Cause I'm the devil who's searching for redemption
And I'm a lawyer who's searching for redemption
And I'm a killer who's searching for redemption
I'm a motherfucking monster who's searching for redemption",27,39,0.6923076923076923,249
Måneskin,måneskin,1271279,7239621,MAMMAMIA,"Uh, uh, uh, uh
Oh, mamma mia, ma-ma-mamma mia, ah
I feel the heat, uh, I feel the beat of drums
Call the police, I'll do it, they've stolen all my fun
I'm breaking free, but I'm stuck in the police car
Oh, mamma mia, ma-ma-mamma mia, ah
They treat me like if I did something criminal
All eyes on me, I feel like I'm a superstar
I'm not a freak, I just thought it was carnival

Oh, mamma-mamma mia, spit your love on me
I'm on my knees and I can't wait to drink your rain
I'll keep the secret if you let me get a taste
Tell me your limits and we'll cross that line again
Oh, mamma-mamma mia (Hahaha)

Oh, mamma mia, ma-ma-mamma mia, ah
You wanna touch my body, I say you're not allowed
You wanna handle me, but I'm a bit too much
I burned all the place down 'cause I'm too fucking hot
Oh, mamma mia, ma-ma-mamma mia, ah
They wanna arrest me, but I was just having fun
I swear that I'm not drunk and I'm not taking drugs
They ask me why I'm so hot, 'cause I'm italiano

Oh, mamma-mamma mia, spit your love on me
I'm on my knees and I can't wait to drink your rain
I'll keep the secret if you let me get a taste
Tell me your limits and we'll cross that line again
Oh, mamma-mamma mia

Give me a command and I'll do what you ask
'Cause my favourite music's your, ""Uh, uh""
Give me a command and I'll do what you ask
'Cause my favourite music's your, ""Uh, uh""
Give me a command and I'll do what you ask
'Cause my favourite music's your, ""Uh, uh""
Give me a command and I'll do what you ask
'Cause I love when you sing out loud

Oh, mamma-mamma mia, spit your love on me
I'm on my knees and I can't wait to drink your rain
I'll keep the secret if you let me get a taste
Tell me your limits and we'll cross that line again
Oh, mamma-mamma mia

Spit your love on me
Spit your love on me
Spit your love on me
Spit your love on me
Oh, mamma-mamma mia",https://genius.com/Maneskin-mammamia-lyrics,,"I feel the heat, uh, I feel the beat of drums
Call the police, I'll do it, they've stolen all my fun
I'm breaking free, but I'm stuck in the police car
They treat me like if I did something criminal
All eyes on me, I feel like I'm a superstar
I'm not a freak, I just thought it was carnival
I'm on my knees and I can't wait to drink your rain
I'll keep the secret if you let me get a taste
Tell me your limits and we'll cross that line again
You wanna touch my body, I say you're not allowed
You wanna handle me, but I'm a bit too much
I burned all the place down 'cause I'm too fucking hot
They wanna arrest me, but I was just having fun
I swear that I'm not drunk and I'm not taking drugs
I'm on my knees and I can't wait to drink your rain
I'll keep the secret if you let me get a taste
Tell me your limits and we'll cross that line again
Give me a command and I'll do what you ask
Give me a command and I'll do what you ask
Give me a command and I'll do what you ask
Give me a command and I'll do what you ask
I'm on my knees and I can't wait to drink your rain
I'll keep the secret if you let me get a taste
Tell me your limits and we'll cross that line again
Spit your love on me
Spit your love on me
Spit your love on me
Spit your love on me",28,45,0.6222222222222222,272
Måneskin,måneskin,1271279,9404685,HONEY (ARE U COMING?),"Meet me there where it never closes
Meet me there where it's never hopeless
All is fair in love, oh-oh-oh-oh
Honey, are you coming?

I know a place downtown, babe, if you wanna go
I'm gonna show you how this Italian amor
It's gonna love you harder than ever before
You will like it
We're gonna get sky-high and create a new world
Where somebody might die, but nobody gets hurt
And if it sounds good for you, baby, just say the word
You will like it (Ah)

It's 5 AM
We feel so good, it's almost frightening
It's 5 AM
I'm made for you, we can't deny it

Meet me there where it never closes
Meet me there where it's never hopeless
All is fair in love, oh-oh-oh-oh
Honey, are you coming?
Meet me there where it never closes
Meet me there, I'll give you your roses
All is fair in love, oh-oh-oh-oh
Honey, are you coming?

Before I found this place I was feeling so blue
But then it turned me out, let it do it to you
It's not a one-night stand if it turns into two
Oh, I like it (Yeah)

It's 5 AM
We feel so good, it's almost frightening
Let's try again
I don't deserve you, you're a diamond

Meet me there where it never closes
Meet me there where it's never hopeless
All is fair in love, oh-oh-oh-oh
Honey, are you coming?
Meet me there where it never closes
Meet me there, I'll give you your roses
All is fair in love, oh-oh-oh-oh
Honey, are you coming?

Honey, are you coming?",https://genius.com/Maneskin-honey-are-u-coming-lyrics,,"Meet me there where it never closes
Meet me there where it's never hopeless
All is fair in love, oh-oh-oh-oh
Honey, are you coming?
I know a place downtown, babe, if you wanna go
I'm gonna show you how this Italian amor
It's gonna love you harder than ever before
You will like it
We're gonna get sky-high and create a new world
Where somebody might die, but nobody gets hurt
And if it sounds good for you, baby, just say the word
You will like it (Ah)
It's 5 AM
We feel so good, it's almost frightening
It's 5 AM
I'm made for you, we can't deny it
Meet me there where it never closes
Meet me there where it's never hopeless
All is fair in love, oh-oh-oh-oh
Honey, are you coming?
Meet me there where it never closes
Meet me there, I'll give you your roses
All is fair in love, oh-oh-oh-oh
Honey, are you coming?
Before I found this place I was feeling so blue
But then it turned me out, let it do it to you
It's not a one-night stand if it turns into two
Oh, I like it (Yeah)
It's 5 AM
We feel so good, it's almost frightening
Let's try again
I don't deserve you, you're a diamond
Meet me there where it never closes
Meet me there where it's never hopeless
All is fair in love, oh-oh-oh-oh
Honey, are you coming?
Meet me there where it never closes
Meet me there, I'll give you your roses
All is fair in love, oh-oh-oh-oh
Honey, are you coming?
Honey, are you coming?",41,41,1.0,268
Måneskin,måneskin,1271279,7968180,SUPERMODEL,"Alone at parties in a deadly silhouette
She loves the cocaine, but cocaine don't love her back
When she's upset, she talks to Maury and takes deep breaths
She's a '90s supermodel, uh-uh-uh
Way back in high school, when she was a good Christian
I used to know her, but she's got a new best friend
A drag queen named The Virgin Mary takes confessions
She's a '90s supermodel

Yeah, she's a master, my compliments
If you wanna love her, just deal with that
She'll never love you more than money and cigarettes
Every night's a heartbreak

Hey, don't think about it, hey, just let it go
'Cause her boyfriend is the rock 'n' roll (Hey!)
Savor every moment 'til she has to go
'Cause her boyfriend is the rock 'n' roll

Alone at parties, she's working around the clock
When you're not lookin', she's stealin' your Basquiat
Low-waisted pants on OnlyFans, I'll pay for that
She's a '90s supermodel

Yeah, she's a master, my compliments
If you wanna love her, just deal with that
She'll never love you, you just look a bit like her dad
Every night's a heartbreak

Hey, don't think about it, hey, just let it go
'Cause her boyfriend is the rock 'n' roll (Hey!)
Savor every moment 'til she has to go
'Cause her boyfriend is the rock 'n' roll (Ah)

Yeah, uh-huh
She's a '90s supermodel, uh-uh-uh
She's a '90s supermodel, uh-uh-uh (Okay)",https://genius.com/Maneskin-supermodel-lyrics,,"Alone at parties in a deadly silhouette
She loves the cocaine, but cocaine don't love her back
When she's upset, she talks to Maury and takes deep breaths
She's a '90s supermodel, uh-uh-uh
Way back in high school, when she was a good Christian
I used to know her, but she's got a new best friend
A drag queen named The Virgin Mary takes confessions
She's a '90s supermodel
Yeah, she's a master, my compliments
If you wanna love her, just deal with that
She'll never love you more than money and cigarettes
Every night's a heartbreak
Hey, don't think about it, hey, just let it go
'Cause her boyfriend is the rock 'n' roll (Hey!)
Savor every moment 'til she has to go
'Cause her boyfriend is the rock 'n' roll
Alone at parties, she's working around the clock
When you're not lookin', she's stealin' your Basquiat
Low-waisted pants on OnlyFans, I'll pay for that
She's a '90s supermodel
Yeah, she's a master, my compliments
If you wanna love her, just deal with that
She'll never love you, you just look a bit like her dad
Every night's a heartbreak
Hey, don't think about it, hey, just let it go
'Cause her boyfriend is the rock 'n' roll (Hey!)
Savor every moment 'til she has to go
'Cause her boyfriend is the rock 'n' roll (Ah)
She's a '90s supermodel, uh-uh-uh
She's a '90s supermodel, uh-uh-uh (Okay)",30,31,0.967741935483871,238
Måneskin,måneskin,1271279,8642225,GOSSIP,"Welcome to the city of lies where everything's got a price
Gonna be in your favorite place
You can be a movie star and get everything you want
Just put some plastic on your face

This place is a circus, you just see the surface
They cover shit under the rug
You can't see they're fakin', they'll never be naked
Just fill your drink with tonic gin, this is the American dream, so

Sip the gossip, drink 'til you choke
Sip the gossip, burn down your throat
You're not iconic, you are just like them all
Don't act like you don't know, so
Sip the gossip, drink 'til you choke
Sip the gossip, burn down your throat
You're not iconic, you are just like them all
Don't act like you don't know, oh


Keep drinkin' and acting cool, don't care if your day is blue
Nobody loves a gloomy face, just
Take your pills and dance all night, don't think at all, that's the advice
So c'mon, let's try, it's just a taste

This place is a circus, you just see the surface
They cover shit under the rug
You can't see they're fakin', they'll never be naked
Just fill your drink with tonic gin, this is the American dream, so

Sip the gossip, drink 'til you choke
Sip the gossip, burn down your throat
You're not iconic, you are just like them all
Don't act like you don't know, so
Sip the gossip, drink 'til you choke
Sip the gossip, burn down your throat
You're not iconic, you are just like them all
Don't act like you don't know, oh


So sip the gossip, drink 'til you choke
Sip the gossip, burn down your throat
You're not iconic, you are just like them all
Don't act like you don't know, oh",https://genius.com/Maneskin-gossip-lyrics,Tom Morello,"Welcome to the city of lies where everything's got a price
Gonna be in your favorite place
You can be a movie star and get everything you want
Just put some plastic on your face
This place is a circus, you just see the surface
They cover shit under the rug
You can't see they're fakin', they'll never be naked
Just fill your drink with tonic gin, this is the American dream, so
You're not iconic, you are just like them all
Don't act like you don't know, so
You're not iconic, you are just like them all
Don't act like you don't know, oh
Keep drinkin' and acting cool, don't care if your day is blue
Nobody loves a gloomy face, just
Take your pills and dance all night, don't think at all, that's the advice
So c'mon, let's try, it's just a taste
This place is a circus, you just see the surface
They cover shit under the rug
You can't see they're fakin', they'll never be naked
Just fill your drink with tonic gin, this is the American dream, so
You're not iconic, you are just like them all
Don't act like you don't know, so
You're not iconic, you are just like them all
Don't act like you don't know, oh
You're not iconic, you are just like them all
Don't act like you don't know, oh",26,36,0.7222222222222222,231
Måneskin,måneskin,1271279,8408584,THE LONELIEST,"You'll be the saddest part of me
A part of me that will never be mine
It's obvious
Tonight is gonna be the loneliest
You're still the oxygen I breathe
I see your face when I close my eyes
It's torturous
Tonight is gonna be the loneliest

There's a few lines that I have wrote
In case of death, that's what I want
That's what I want
So don't be sad when I'll be gone
There's just one thing I hopе you know
I loved you so
'Cause I don't evеn care about the time I've got left here
The only thing I know now is that I want to spend it
With you, with you
Nobody else here
Tonight is gonna be the loneliest

You'll be the saddest part of me
A part of me that will never be mine
It's obvious
Tonight is gonna be the loneliest
You're still the oxygen I breathe
I see your face when I close my eyes
It's torturous
Tonight is gonna be the loneliest

I'm sorry but I gotta go
If you'll ever miss me
Give this song another go
And I just keep on thinking how you made me feel better
And all the crazy little things that we did together
In the end, in the end, it doesn't matter
If tonight is gonna be the loneliest

You'll be the saddest part of me
A part of me that will never be mine
It's obvious
Tonight is gonna be the loneliest
You're still the oxygen I breathe
I see your face when I close my eyes
It's torturous
Tonight is gonna be the loneliest


You'll be the saddest part of me
A part of me that will never be mine
It's obvious
Tonight is gonna be the loneliest
You'll be the saddest part of me
A part of me that will never be mine
It's obvious
Tonight is gonna be the loneliest
You're still the oxygen I breathe
I see your face when I close my eyes
It's torturous
Tonight is gonna be the loneliest",https://genius.com/Maneskin-the-loneliest-lyrics,,"You'll be the saddest part of me
A part of me that will never be mine
It's obvious
You're still the oxygen I breathe
It's torturous
There's a few lines that I have wrote
In case of death, that's what I want
That's what I want
So don't be sad when I'll be gone
There's just one thing I hopе you know
I loved you so
'Cause I don't evеn care about the time I've got left here
The only thing I know now is that I want to spend it
With you, with you
Tonight is gonna be the loneliest
You'll be the saddest part of me
A part of me that will never be mine
It's obvious
Tonight is gonna be the loneliest
You're still the oxygen I breathe
It's torturous
Tonight is gonna be the loneliest
I'm sorry but I gotta go
If you'll ever miss me
Give this song another go
And I just keep on thinking how you made me feel better
And all the crazy little things that we did together
In the end, in the end, it doesn't matter
If tonight is gonna be the loneliest
You'll be the saddest part of me
A part of me that will never be mine
It's obvious
Tonight is gonna be the loneliest
You're still the oxygen I breathe
It's torturous
Tonight is gonna be the loneliest
You'll be the saddest part of me
A part of me that will never be mine
It's obvious
Tonight is gonna be the loneliest
You'll be the saddest part of me
A part of me that will never be mine
It's obvious
Tonight is gonna be the loneliest
You're still the oxygen I breathe
It's torturous
Tonight is gonna be the loneliest",47,54,0.8703703703703703,293
Måneskin,måneskin,1271279,9563070,VALENTINE,"Wasted in love, misunderstood
Baby, it's harder to breathe when you're gone
So I hold in my hands pictures of you
And dream of the day you were eatin' for two

All this love, I'm so choked up
I can feel you in my blood
All this lust for just one touch
I'm so scared to give you up

Valentine, my decline is so much better with you
Valentine, my decline, I'm always runnin' to you
Valentine
Valentine

Crazy in love, daisy in bloom
Black hearts for pupils, I'm pacing the room
And I cover myself in tattoos of us
And dream of the day we еmbrace and combust

All this love, I'm so choked up
I can feel you in my blood
All this lust for just onе touch
I'm so scared to give you up

Valentine, my decline is so much better with you
Valentine, my decline, I'm always runnin' to you
Valentine
Valentine

All this love, all this love
All this love
All this love, all this love
All this love",https://genius.com/Maneskin-valentine-lyrics,,"Wasted in love, misunderstood
Baby, it's harder to breathe when you're gone
So I hold in my hands pictures of you
And dream of the day you were eatin' for two
All this love, I'm so choked up
I can feel you in my blood
All this lust for just one touch
I'm so scared to give you up
Valentine, my decline is so much better with you
Valentine, my decline, I'm always runnin' to you
Crazy in love, daisy in bloom
Black hearts for pupils, I'm pacing the room
And I cover myself in tattoos of us
All this love, I'm so choked up
I can feel you in my blood
All this lust for just onе touch
I'm so scared to give you up
Valentine, my decline is so much better with you
Valentine, my decline, I'm always runnin' to you
All this love, all this love
All this love
All this love, all this love
All this love",23,28,0.8214285714285714,161
