artist_slug,artist_name,song_id,title,url,text,word_count,english_ratio,n_english_lines,n_total_lines,featured_artists,L1,genius_artist_id,lyrics,english_word_count
mala_rodríguez,Mala Rodríguez,3957465,Contigo,https://genius.com/Mala-rodriguez-contigo-lyrics,"She give it up when me call her up
She run away even when I stuck around
And she don't want no other man but me
Number one, she one of a kind
She know how she blew my mind
Girl, you and me agree (agree)
When you're not around me, bring me contigo
When you're not around me, bring me contigo
When you're not around me, bring me contigo
She give it up when me calle her up
She run away even when me stuck around
And she don't want no other man but me
Number one, she one of a kind
She know how she blow my mind
Girl, you and me agree",115.0,0.2205882352941176,15,68,Stylo G,spanish,,,
mala_rodríguez,Mala Rodríguez,10405809,Pa Que Sude (Gonna Make You Sweat/Chosen Few Mix) [Global Version],https://genius.com/Mala-rodriguez-jon-z-and-boy-wonder-cf-pa-que-sude-gonna-make-you-sweat-chosen-few-mix-global-version-lyrics,"And the boys say wow
Forget about the street
And get about your seat
You do whatever you feel
It’s all about the beat
They real affectionate
I prepare for that
And I care for that
This was a rough year baby
I swear for that
Let’s cheer for that
Besides that, we ain’t even get introduced yet
Dipset in the building
The Asian Bailando Like she a stripper (i like her)
You can catch the big pachote in a new porsche
Or show me that dinero, this aint a freestyle
She gon dance to an OPS, if he hurt
Its getting fuego, had to take off the Pele (we need AC)
I’ll be back i had to take off to LA
Still parks and tapas, right in front the Deli
Rewire",132.0,0.1363636363636363,21,154,Jadakiss; Shootter Ledo; Nino Freestyle; POCAH; Vegedream; Jim Jones; Maikel Delacalle,spanish,,,
arca,Arca,5331787,Nonbinary,https://genius.com/Arca-nonbinary-lyrics,"Hips to move it around and make shapes, yes
Trim the waste off and the waist down, girl, it's lift off
Do you want a taste?
I don't give a fuck what you think
You don't know me
You might owe me
But, bitch, you'll never know me
Ask me how I got here
Bitch, I worked hard
Ask me about my luck
Yeah, I've been lucky
And I've been unlucky
It's both
Don't put your shit on me
Bitch, I'm special, you can't tell me otherwise
That'd be a lie
Who do you think I am?
It's not who do you think you're dealing with, no
'Cause you're not ""dealing with""
There's no deal
Bitch, it's real on my side
Go ahead, speak for yourself
Go ahead, speak for yourself
Cast the first stone
Speak for your self-states
Speak for your self-states
Speak for your self-states
Speak for your self-states
Speak for your self, self-states
Move for your self-states
Speak for your self-states
Speak for your self-states
Speak for your self-states
Move for your self
I can be friendly or I can be fake
I can be real or I can lick a taste
What's it gonna take?
I can be sexy or I could be sad
Act bad just to be sweet
It is to be",218.0,0.8,40,50,,spanish,,,
arca,Arca,5401191,Electra Rex,https://genius.com/Arca-electra-rex-lyrics,"Are you wildin' while we warp the text?
Didn't we mention that we would?
Didn't we mention that we would fuck it up best? (Best)
Didn't we mention that we would?
Didn't we mention that we would fuck it up best?
While we find a friend or foe to clap your sex against
Find a friend or foe, foe, foe to clap, clap, clap your sex against
Find a friend or foe
To the beat, let your hips go
To the beat, let your hips go
Wet and hot and heavy while we smash the test
I'm drowning in flores, girl
Forgetting to breathe, I seethe and teethe
On the back of my throat
You're pressing my clit and my petals are heavy
You're ready to blow, should I blow?
Should I blow?
Should I?
Should I?
Should I?
Should I blow?
Should I?
Should I blow?
Should I blow?
Should I blow?
Should I?
Should I?
Should I?
Should I blow?
Should I?
Should I blow?
Should I blow?
Should I blow?
Should I?
Should I?
Should I blow?
Should I?
Should I blow?
Should I blow?
Should I blow?
Should I?
Should I?
Should I?
Should I blow?
Should I?
Should I?",204.0,0.8518518518518519,46,54,,spanish,,,
arca,Arca,2376807,Brokeup,https://genius.com/Arca-brokeup-lyrics,"Uh, uh, swear, man, get off
Waitin' for my flight to take off
We're gonna faint and break up
Uhuh, I'll push and pull it out, breed it, more
I'll push and pull it out
It's too much for me to take
It's too much for me to take
I'll push and pull it out, wait
It's too much for me to take
It's too much for me to take, okay?
Smeared makeup, waiting for breath take off
I'm a little bit twisted
I'm a little bit twisted
Baby, I don't feel my body leaning
Worst comes to worst
I'm feeling like a natural heathen
Superstition, blood, I'm paused
I'll push it
It's too much for me to take
It's too much for me to take
Swear, man, get off
Waitin' for my flight to take off
We're gonna faint and break up
I'll push and pull it out, breed it
It's too much for me to take
It's too much for me to take
It's too much",168.0,0.6428571428571429,27,42,,spanish,,,
arca,Arca,5369735,Watch,https://genius.com/Arca-watch-lyrics,"Too hot for the night
I'm loose, can't even act right
Two shots and a guy my height
Real talk, that's rude
I forget you don't know that I move like this
A girl like me on a flex daily
It's a lot, it's a lot
When I know my mind
Do I look bad breed?
'Cause I ain't got time
Your chick knows I come through ruthless
Come through with your chest, don't gas
You're a baddy doing bits
Or you wet like the rest?
Too hot for the night
I'm loose, can't even act right
Real talk, that's rude
I forget you don't know that I move like this
A girl like me on a flex daily
It's a lot, it's a lot
When I know my mind
Do I look bad breed?
'Cause I ain't got time
Your chick knows I come through ruthless
Come through with your chest, don't gas
You're a baddy doing bits
Or you wet like the rest?
I'm, I'm too hot for the night
But, but I might
I'm too hot for the night
I'm, but, I'm, but I might
I'm, I'm too hot for the night
But, but I might
I'm, I'm too hot for the night
But, I'm, but I might
I'm too hot for the night
But, but I might
Too hot for the night
But, but I might
I'm, I'm, but (Uh, uh), but I might
I'm too hot for the night
I'm, but, I'm, but I might
I'm, I'm
Go lit, go off
Just, just",258.0,0.8823529411764706,45,51,Shygirl,spanish,,,
arca,Arca,7257557,Born Yesterday,https://genius.com/Arca-and-sia-born-yesterday-lyrics,"Something's wrong and I can feel it
Then we will drown here in it all
'Cause you can't look me in the eye anymore
And if you do, it's clear inside
But you can't hide your shame tonight
And I can't take the words you cannot say
So hush now and don't cry
Mistakes are part of life
I wasn't born yesterday
And I see it on your face
I wasn't born yesterday
And I am not your baby anymore
You took my heart and now it's broken
So take your things, you gotta go now
Don't say a word or it might go down, go down, go down
And I'll stay cool until you walk out
But when you're gone, I'll lie here hoping that I will not drown
But you can't hide your shame tonight
And I can't take the words you cannot say
So hush now and don't cry
Mistakes are part of life
I wasn't born yesterday
And I see it on your face
I wasn't born yesterday
And I am not your baby anymore
You took my heart and now it's broken
I ain't your baby anymore (Don't call me baby)
Don't say a word because I know (Don't call me baby)
I ain't your baby anymore (Don't call me baby)
So save the word because I know (Don't call me baby)",227.0,0.8333333333333334,30,36,,spanish,,,
arca,Arca,5394622,Crown,https://genius.com/Arca-crown-lyrics,"The lines, the lines
Hips shift, uh, from side to side
How could it fit inside a body so petite?
Why would she flip? How could she flip?
How could she flip it all upside down?
She wears her crown
How could it fit inside a body so petite?
Why would she flip? How could she flip?
How could she flip it all upside down?
She wears her crown (Kick)
She wears her crown (Kick)
Uh, from side to side (Kick)
How could it fit?
How could it fit inside a body so petite?
Why would she flip? How could she flip?
How could she flip it all upside down?
She wears her crown
She wears her crown",118.0,0.6428571428571429,18,28,,spanish,,,
arca,Arca,11730156,Puta,https://genius.com/Arca-puta-lyrics,"Rip hit lick shots
I am that bitch
Now-now, I know
How it goes
Boy, I'm looking for a heavy hitter
I'm a taste of broken doll sugar
Honey, you can put it in reverse
Pull a Glock from my purse
Lick my lips, and what's worse?
That's why you love her
You can put it in your mouth
Yes, you can put it in your mouth
Rip hit lick shots
I am that bitch
Now-now I know
How it goes
It gets me off, gives me relief
You could crush me with one finger
Daddy, tempt me
Rip hit lick shots
I am that bitch
Mi-milk you go
Now-now I know
How it goes",115.0,0.32,24,75,,spanish,,,
arca,Arca,7402142,Queer,https://genius.com/Arca-queer-lyrics,"I got tears, but tears of fire
I got tears like a queer
Tears I'll shower in my time (Igual), like magic
All light, queer fire, shower in power line
Tears I'll shower in my time, like magic
Queer life, queer fire, shower in power line
I got tears, but tears of fire
I got tears like a queer
I will shower, I will shower, I will shower you in tears of fire
I will shower, I will shower, I will shower you in tears of fire
I will shower you, I will shower you, I will shower you in tears of fire
I will shower you, I will shower you, I will shower you in tears of fire",119.0,0.5,12,24,Planningtorock,spanish,,,
