artist_name,artist_slug,genius_artist_id,song_id,title,lyrics,url,featured_artists,english_only_text,n_english_lines,n_total_lines,english_ratio,english_word_count,english_masked_text,masked_word_count
Arca,arca,55972,5331787,Nonbinary,"I do what I wanna do when I wanna do it
Bitch, I got the bags to prove it
Hips to move it around and make shapes, yes
Trim the waste off and the waist down, girl, it's lift off
It's French tips wrapped 'round a dick
Do you want a taste?
I don't give a fuck what you think
You don't know me
You might owe me
But, bitch, you'll never know me
Ask me how I got here
Bitch, I worked hard
Ask me about my luck
Yeah, I've been lucky
And I've been unlucky
It's both
Don't put your shit on me
Bitch, I'm special, you can't tell me otherwise
That'd be a lie

Who do you think I am?
It's not who do you think you're dealing with, no
'Cause you're not ""dealing with""
There's no deal
Bitch, it's real on my side
Go ahead, speak for yourself
Go ahead, speak for yourself
Cast the first stone
If you wanna be a puppet
Better yet—

Speak for your self-states
Speak for your self-states
Speak for your self-states
Speak for your self-states
Speak for your self, self-states
Move for your self-states
Speak for your self-states
Speak for your self-states
Speak for your self-states
Move for your self

I can be friendly or I can be fake
I can be real or I can lick a taste
What's it gonna take?
I can be sexy or I could be sad
Act bad just to be sweet
What a treat
It is to be
Nonbinary
Ma chérie
Tee-hee-hee
Bitch",https://genius.com/Arca-nonbinary-lyrics,,"Hips to move it around and make shapes, yes
Trim the waste off and the waist down, girl, it's lift off
Do you want a taste?
I don't give a fuck what you think
You don't know me
You might owe me
But, bitch, you'll never know me
Ask me how I got here
Bitch, I worked hard
Ask me about my luck
Yeah, I've been lucky
And I've been unlucky
It's both
Don't put your shit on me
Bitch, I'm special, you can't tell me otherwise
That'd be a lie
Who do you think I am?
It's not who do you think you're dealing with, no
'Cause you're not ""dealing with""
There's no deal
Bitch, it's real on my side
Go ahead, speak for yourself
Go ahead, speak for yourself
Cast the first stone
Speak for your self-states
Speak for your self-states
Speak for your self-states
Speak for your self-states
Speak for your self, self-states
Move for your self-states
Speak for your self-states
Speak for your self-states
Speak for your self-states
Move for your self
I can be friendly or I can be fake
I can be real or I can lick a taste
What's it gonna take?
I can be sexy or I could be sad
Act bad just to be sweet
It is to be",40,50,0.8,218,"to move it around and make
the waste off and the it's off
Do want a
I don't give a think
don't know me
might owe me
But, you'll never know me
Ask me I got here
I worked
Ask me about my
I've been
And I've been
It's both
Don't put on me
special, can't tell me otherwise
That'd be a lie
do think I am?
It's do think you're dealing with, no
you're ""dealing with""
There's no deal
it's on my
Go speak for
Go speak for
the first
Speak for self-states
Speak for self-states
Speak for self-states
Speak for self-states
Speak for self-states
Move for self-states
Speak for self-states
Speak for self-states
Speak for self-states
Move for
I can be or I can be
I can be or I can a
What's it take?
I can be or I could be
Act just to be
It is to be",152
Arca,arca,55972,5401191,Electra Rex,"Electra Rex complex
Dismember flexed on deck
Tech-tech-techtonic atónita girl flex
Are you wildin' while we warp the text?
Are you wildin' while we warp the text? (Tech-tech)
Didn't we mention that we would?
Didn't we mention that we would fuck it up best? (Best)
Didn't we mention that we would?
Didn't we mention that we would fuck it up best?
Let your hips go, let your, let your
Let your hips go, let your, go
Let your your hips go wild while we handle the rest
While we find a friend or foe to clap your sex against
Find a friend or foe, foe, foe to clap, clap, clap your sex against
Find a friend or foe
To the beat, let your hips go
To the beat, let your hips go

Electra Rex knife sex
Wet and hot and heavy while we smash the test
I'm drowning in flores, girl
Forgetting to breathe, I seethe and teethe
On the back of my throat
You're pressing my clit and my petals are heavy
You're ready to blow, should I blow?

Should I blow?
Should I?
Should I?
Should I?
Should I blow?
Should I?
Should I blow?
Should I blow?
Should I blow?
Should I?
Should I?
Should I?
Should I blow?
Should I?
Should I blow?
Should I blow?
Should I blow?
Should I?
Should I?
Should I blow?
Should I?
Should I blow?
Should I blow?
Should I blow?
Should I?
Should I?
Should I?
Should I blow?
Should I?
Should I?",https://genius.com/Arca-electra-rex-lyrics,,"Are you wildin' while we warp the text?
Didn't we mention that we would?
Didn't we mention that we would fuck it up best? (Best)
Didn't we mention that we would?
Didn't we mention that we would fuck it up best?
While we find a friend or foe to clap your sex against
Find a friend or foe, foe, foe to clap, clap, clap your sex against
Find a friend or foe
To the beat, let your hips go
To the beat, let your hips go
Wet and hot and heavy while we smash the test
I'm drowning in flores, girl
Forgetting to breathe, I seethe and teethe
On the back of my throat
You're pressing my clit and my petals are heavy
You're ready to blow, should I blow?
Should I blow?
Should I?
Should I?
Should I?
Should I blow?
Should I?
Should I blow?
Should I blow?
Should I blow?
Should I?
Should I?
Should I?
Should I blow?
Should I?
Should I blow?
Should I blow?
Should I blow?
Should I?
Should I?
Should I blow?
Should I?
Should I blow?
Should I blow?
Should I blow?
Should I?
Should I?
Should I?
Should I blow?
Should I?
Should I?",46,54,0.8518518518518519,204,"Are wildin' we the
Didn't we mention that we would?
Didn't we mention that we would it up
Didn't we mention that we would?
Didn't we mention that we would it up
we find a friend or to against
Find a friend or to against
Find a friend or
To the let go
To the let go
and and we the
in
Forgetting to I seethe and
On the of my throat
You're pressing my and my are
You're to should I
Should I
Should I?
Should I?
Should I?
Should I
Should I?
Should I
Should I
Should I
Should I?
Should I?
Should I?
Should I
Should I?
Should I
Should I
Should I
Should I?
Should I?
Should I
Should I?
Should I
Should I
Should I
Should I?
Should I?
Should I?
Should I
Should I?
Should I?",142
Arca,arca,55972,2376807,Brokeup,"Uh, uh, swear, man, get off
Waitin' for my flight to take off
We're gonna faint and break up
Blood rushing, god damn, take five
Uhuh, I'll push and pull it out, breed it, more
I'll push and pull it out
It's too much for me to take
It's too much for me to take
I'll push and pull it out, wait
It's too much for me to take
It's too much for me to take, okay?

Workin' thick on knees to push it on heels
I hear, throat sore, resting on your arms
Smeared makeup, waiting for breath take off
Feeling faded, break out, blood rush, vein burst
Arms up
I'm a little bit twisted
Reel it back then feel it, seal it
Arms up
I'm a little bit twisted
Reel it back then feel it, seal it
Hold up
Aye, okay, uh, wait
Baby, I don't feel my body leaning
Worst comes to worst
I'm feeling like a natural heathen
Superstition, blood, I'm paused
Wait for you

I'll push it
It's too much for me to take
It's too much for me to take
So, where you goin'?
Push it on knees, push it on heels
I hear, throat sore, resting on your arms
Swear, man, get off
Waitin' for my flight to take off
We're gonna faint and break up
Blood rushing, god damn, take five
I'll push and pull it out, breed it
It's too much for me to take
It's too much for me to take
It's too much",https://genius.com/Arca-brokeup-lyrics,,"Uh, uh, swear, man, get off
Waitin' for my flight to take off
We're gonna faint and break up
Uhuh, I'll push and pull it out, breed it, more
I'll push and pull it out
It's too much for me to take
It's too much for me to take
I'll push and pull it out, wait
It's too much for me to take
It's too much for me to take, okay?
Smeared makeup, waiting for breath take off
I'm a little bit twisted
I'm a little bit twisted
Baby, I don't feel my body leaning
Worst comes to worst
I'm feeling like a natural heathen
Superstition, blood, I'm paused
I'll push it
It's too much for me to take
It's too much for me to take
Swear, man, get off
Waitin' for my flight to take off
We're gonna faint and break up
I'll push and pull it out, breed it
It's too much for me to take
It's too much for me to take
It's too much",27,42,0.6428571428571429,168,"Uh, uh, swear, get off
for my to take off
We're and up
I'll and it out, it, more
I'll and it out
It's much for me to take
It's much for me to take
I'll and it out,
It's much for me to take
It's much for me to take,
Smeared waiting for take off
a little bit twisted
a little bit twisted
I don't feel my leaning
comes to
feeling like a
Superstition, paused
I'll it
It's much for me to take
It's much for me to take
Swear, get off
for my to take off
We're and up
I'll and it out, it
It's much for me to take
It's much for me to take
It's much",120
Arca,arca,55972,5369735,Watch,"Too hot for the night
I'm loose, can't even act right
Two shots and a guy my height
Real talk, that's rude
I forget you don't know that I move like this
Lowkey, real shady
A girl like me on a flex daily
It's a lot, it's a lot
When I know my mind
Do I look bad breed?
'Cause I ain't got time
No feelings, no exclusive
Your chick knows I come through ruthless
Come through with your chest, don't gas
You're a baddy doing bits
Or you wet like the rest?
(Uh, uh, uh)

Too hot for the night
I'm loose, can't even act right
Two shots and a guy my height
Real talk, that's rude
I forget you don't know that I move like this
Lowkey, real shady
A girl like me on a flex daily
It's a lot, it's a lot
When I know my mind
Do I look bad breed?
'Cause I ain't got time
No feelings, no exclusive
Your chick knows I come through ruthless
Come through with your chest, don't gas
You're a baddy doing bits
Or you wet like the rest?

I'm, I'm too hot for the night
But, but I might
I'm too hot for the night
I'm, but, I'm, but I might
I'm, I'm too hot for the night
But, but I might
I'm, I'm too hot for the night
But, I'm, but I might
I'm too hot for the night
But, but I might
Too hot for the night
But, but I might
I'm, I'm, but (Uh, uh), but I might
I'm too hot for the night
I'm, but, I'm, but I might
I'm, I'm

Go lit, go off
Just, just",https://genius.com/Arca-watch-lyrics,Shygirl,"Too hot for the night
I'm loose, can't even act right
Two shots and a guy my height
Real talk, that's rude
I forget you don't know that I move like this
A girl like me on a flex daily
It's a lot, it's a lot
When I know my mind
Do I look bad breed?
'Cause I ain't got time
Your chick knows I come through ruthless
Come through with your chest, don't gas
You're a baddy doing bits
Or you wet like the rest?
Too hot for the night
I'm loose, can't even act right
Real talk, that's rude
I forget you don't know that I move like this
A girl like me on a flex daily
It's a lot, it's a lot
When I know my mind
Do I look bad breed?
'Cause I ain't got time
Your chick knows I come through ruthless
Come through with your chest, don't gas
You're a baddy doing bits
Or you wet like the rest?
I'm, I'm too hot for the night
But, but I might
I'm too hot for the night
I'm, but, I'm, but I might
I'm, I'm too hot for the night
But, but I might
I'm, I'm too hot for the night
But, I'm, but I might
I'm too hot for the night
But, but I might
Too hot for the night
But, but I might
I'm, I'm, but (Uh, uh), but I might
I'm too hot for the night
I'm, but, I'm, but I might
I'm, I'm
Go lit, go off
Just, just",45,51,0.8823529411764706,258,"for the
can't even act
Two and a my
talk, that's
I forget don't know that I move like this
A like me on a
It's a lot, it's a lot
I know my
Do I look
I ain't got
knows I through
through with don't gas
You're a doing
Or like the
for the
can't even act
talk, that's
I forget don't know that I move like this
A like me on a
It's a lot, it's a lot
I know my
Do I look
I ain't got
knows I through
through with don't gas
You're a doing
Or like the
for the
But, but I might
for the
but, but I might
for the
But, but I might
for the
But, but I might
for the
But, but I might
for the
But, but I might
but (Uh, uh), but I might
for the
but, but I might
Go go off
Just, just",155
Arca,arca,55972,7257557,Born Yesterday,"Something's wrong and I can feel it
And if the surface tension breaks
Then we will drown here in it all
'Cause you can't look me in the eye anymore
And if you do, it's clear inside
You fight an inner war

But you can't hide your shame tonight
And I can't take the words you cannot say
So hush now and don't cry
Mistakes are part of life

I wasn't born yesterday
And I see it on your face
I wasn't born yesterday
And I am not your baby anymore
You took my heart and now it's broken

So take your things, you gotta go now
Don't say a word or it might go down, go down, go down
And I'll stay cool until you walk out
But when you're gone, I'll lie here hoping that I will not drown

But you can't hide your shame tonight
And I can't take the words you cannot say
So hush now and don't cry
Mistakes are part of life

I wasn't born yesterday
And I see it on your face
I wasn't born yesterday
And I am not your baby anymore
You took my heart and now it's broken

I ain't your baby anymore (Don't call me baby)
Don't say a word because I know (Don't call me baby)
I ain't your baby anymore (Don't call me baby)
So save the word because I know (Don't call me baby)
No (Don't call me baby)
No (Don't call me baby)
No (Don't call me baby)
No (Don't call me baby)",https://genius.com/Arca-and-sia-born-yesterday-lyrics,,"Something's wrong and I can feel it
Then we will drown here in it all
'Cause you can't look me in the eye anymore
And if you do, it's clear inside
But you can't hide your shame tonight
And I can't take the words you cannot say
So hush now and don't cry
Mistakes are part of life
I wasn't born yesterday
And I see it on your face
I wasn't born yesterday
And I am not your baby anymore
You took my heart and now it's broken
So take your things, you gotta go now
Don't say a word or it might go down, go down, go down
And I'll stay cool until you walk out
But when you're gone, I'll lie here hoping that I will not drown
But you can't hide your shame tonight
And I can't take the words you cannot say
So hush now and don't cry
Mistakes are part of life
I wasn't born yesterday
And I see it on your face
I wasn't born yesterday
And I am not your baby anymore
You took my heart and now it's broken
I ain't your baby anymore (Don't call me baby)
Don't say a word because I know (Don't call me baby)
I ain't your baby anymore (Don't call me baby)
So save the word because I know (Don't call me baby)",30,36,0.8333333333333334,227,"Something's wrong and I can feel it
we will here in it
can't look me in the anymore
And if do, it's
But can't
And I can't take the cannot say
So and don't
Mistakes are part of
I wasn't born
And I see it on
I wasn't born
And I am anymore
took my and it's
So take things, go
Don't say a or it might go go go
And I'll stay until out
But you're I'll lie here hoping that I will
But can't
And I can't take the cannot say
So and don't
Mistakes are part of
I wasn't born
And I see it on
I wasn't born
And I am anymore
took my and it's
I ain't anymore (Don't me
Don't say a because I know (Don't me
I ain't anymore (Don't me
So the because I know (Don't me",144
Arca,arca,55972,5603620,Witch,"This witch is so seductive, elective, and protective
This witch is so seductive, elective, and protective
This witch is so seductive, elective, and protective
This witch is so seductive, elective, and protective
This witch is so seductive, elective, and protective
This witch is so seductive, elective, and protective
This witch is so seductive, elective, and protective
How they make you objects, more ludicrous words
How they make you objects, more ludicrous words
How they make you objects, more ludicrous words
How they make you objects, more ludicrous words
Fucking machine merging multiple monsters
Fucking machine mer-, fucking machine merging multiple monsters
Fucking machine mer-, fucking machine merging multiple monsters
Fucking machine mer-, fucking machine merging multiple monsters
Fucking machine merging multiple monsters
I'm with my fucking machine
They're asking, ""What have you seen?""
This witch is so seductive, elective, and protective
This witch is so seductive, elective, and protective
This witch is so seductive, elective, and protective
How they make you objects, more ludicrous words
How they make you objects, more ludicrous words
Fucking machine merging multiple monsters
Fucking machine merging multiple monsters
I'm with my fucking machine
They're asking, ""What have you seen?""",https://genius.com/Arca-witch-lyrics,No Bra,"This witch is so seductive, elective, and protective
This witch is so seductive, elective, and protective
This witch is so seductive, elective, and protective
This witch is so seductive, elective, and protective
This witch is so seductive, elective, and protective
This witch is so seductive, elective, and protective
This witch is so seductive, elective, and protective
How they make you objects, more ludicrous words
How they make you objects, more ludicrous words
How they make you objects, more ludicrous words
How they make you objects, more ludicrous words
I'm with my fucking machine
They're asking, ""What have you seen?""
This witch is so seductive, elective, and protective
This witch is so seductive, elective, and protective
This witch is so seductive, elective, and protective
How they make you objects, more ludicrous words
How they make you objects, more ludicrous words
I'm with my fucking machine
They're asking, ""What have you seen?""",20,27,0.7407407407407407,150,"This is so seductive, elective, and protective
This is so seductive, elective, and protective
This is so seductive, elective, and protective
This is so seductive, elective, and protective
This is so seductive, elective, and protective
This is so seductive, elective, and protective
This is so seductive, elective, and protective
they make more
they make more
they make more
they make more
with my fucking
They're asking, have seen?""
This is so seductive, elective, and protective
This is so seductive, elective, and protective
This is so seductive, elective, and protective
they make more
they make more
with my fucking
They're asking, have seen?""",102
Arca,arca,55972,2376234,Self Defense,"Self defense, self defense
Self defense, nothing but self defense

Dumb love, numb fuck
Come out with your motherfuckin' hands up
Now answer, learn to step
Know I like to put my hands down, eat
Bounce up, now rewind it
Twerk until my booty find it
'Cause this no time to be tryna hide it
Got my fellas mixed blood and we wine about it
My fast trick, your limp dick
You resist, I insist
Admit defeat, it's my treat
Numb feet, then rock to the beat
Lean meat while the angels weep
Just you and me for the time to be
It's a black hole with a white flame
And a tan purse till words of war brain
Lip lock, let 'em drop, your hips pop, it can't stop
Ri-ri-ri-ri-rinse repeat
Make it bitter then make it sweet
Always tryna get me fucked, ah

Roll it up, back it all up, turning agressive
Just don't be late, just don't hate, just don't hate
Just  never, just  never, just
Just cut the rough, the rage, the private time is mine
Wind it, it's fine, you're fussy, you down low
Just me in ya,  those are mine, then ya
'Cause I lose my sense I'mma

Give it the bounce, bounce
Come up, the bounce, bounce
Don't make it stop, the bounce, bounce
Give it the bounce, bounce
The bounce, bounce
Give it up, give it the bounce, bounce
The bounce, bounce
Give it the bounce, bounce
Never stop, just the bounce, bounce
The bounce, bounce
Give it
Some time to bounce
The bounce, bounce
Give it the, the bounce, bounce
The bounce, bounce
Give it the bounce",https://genius.com/Arca-self-defense-lyrics,,"Self defense, self defense
Self defense, nothing but self defense
Come out with your motherfuckin' hands up
Now answer, learn to step
Know I like to put my hands down, eat
Twerk until my booty find it
'Cause this no time to be tryna hide it
Got my fellas mixed blood and we wine about it
Admit defeat, it's my treat
Just you and me for the time to be
It's a black hole with a white flame
Lip lock, let 'em drop, your hips pop, it can't stop
Always tryna get me fucked, ah
Roll it up, back it all up, turning agressive
Just don't be late, just don't hate, just don't hate
Just  never, just  never, just
Just cut the rough, the rage, the private time is mine
Wind it, it's fine, you're fussy, you down low
Just me in ya,  those are mine, then ya
'Cause I lose my sense I'mma
Give it the bounce, bounce
Come up, the bounce, bounce
Don't make it stop, the bounce, bounce
Give it the bounce, bounce
The bounce, bounce
Give it up, give it the bounce, bounce
The bounce, bounce
Give it the bounce, bounce
Never stop, just the bounce, bounce
The bounce, bounce
Give it
Some time to bounce
The bounce, bounce
Give it the, the bounce, bounce
The bounce, bounce
Give it the bounce",36,45,0.8,226,"defense, defense
defense, nothing but defense
out with up
answer, to
Know I like to put my eat
until my booty find it
this no to be tryna it
Got my and we about it
defeat, it's my treat
Just and me for the to be
It's a with a
let 'em it can't stop
Always tryna get me fucked, ah
it up, it up, turning agressive
Just don't be just don't hate, just don't hate
Just never, just never, just
Just cut the rough, the the private is mine
it, it's fine, you're
Just me in ya, those are mine, ya
I my
Give it the bounce, bounce
up, the bounce, bounce
Don't make it stop, the bounce, bounce
Give it the bounce, bounce
The bounce, bounce
Give it up, give it the bounce, bounce
The bounce, bounce
Give it the bounce, bounce
Never stop, just the bounce, bounce
The bounce, bounce
Give it
Some to bounce
The bounce, bounce
Give it the, the bounce, bounce
The bounce, bounce
Give it the bounce",174
Arca,arca,55972,10064640,Maníaca,"Who's that? Who's that?
Girl, you gotta give it up if you thinkin' that you could get it
Let you come in while you working a break, a residual limit
Burn it up, kicking it if you put it up, bury your face inside it
Then ride it, no need for me to try and hide it tonight

Maníaca, maníaca (Hey)
Ma-maníaca, ah, del amor (Hey)
Mmm, maníaca, maníaca (Hey)
Mmm, maníaca, ah, del amor (Hey)

Mira que está loca la chiquita
Mi' hijitas faldita de lana cremita, color crema
Tacones negros, falda beige
Tacones beige, abrigo beige
Labios beige, beige y negro
Beige y negro, tira, beige, tira dinero
Beige y negro, tira dinero, tira

Aunque mona se vista de seda, mona se queda (¡Por Dios!)
Bitch, consíguete una peluca nueva
Consigue, consíguete una peluca nueva (¿Me escucha?)
Consigue, consíguete una peluca n-
No te la cales
¡Ay, papá!

Hold on, girl
Uhm, someone is on the phone
It's, it's for you

To all my he's, to all my she's
To all my it's, to all my thems
To all my these, to all my theys
To all my ex's, to all my wits
To all my ones, to all my O's
To all my wins, to all my opps
To all my lost, to all my-
A-a-all my girls

Damn, I snapped
I bet you thought I wasn't gonna rip the slit like this (Snap)
Snap, snap, snap, snapped, bitch
Well here it is (Grrr)
Pure bliss
It's what it is

To all my he's, to all my she's
To all my it's, to all my thems
To all my these, to all my theys
To all my ex's, to all my wits
To all my ones, to all my O's
To all my wins, to all my opps
To all my lost, to all my-
A-a-all my girls

Maníaca, maníaca (Hey)
Ma-maníaca, ah, del amor (Hey)
Mmm, maníaca, maníaca (Hey)
Mmm, maníaca, ah, del amor (Hey, hey)
Maníaca, maníaca (Hey)
Ma-maníaca, ah, del amor (Hey)
Mmm, maníaca, maníaca (Hey)
Mmm, maníaca, ah, del amor (Hey)

Y colorín colorado
Este cuento apena' a comenzado

Mírala, está loca la chiquita
Mírala (Está loca la chiqui)
Está loca la chiquita
Mírala (La chiquita rompe)
Está loca la chiquita",https://genius.com/Arca-maniaca-lyrics,,"Who's that? Who's that?
Girl, you gotta give it up if you thinkin' that you could get it
Let you come in while you working a break, a residual limit
Burn it up, kicking it if you put it up, bury your face inside it
Then ride it, no need for me to try and hide it tonight
Uhm, someone is on the phone
It's, it's for you
To all my he's, to all my she's
To all my it's, to all my thems
To all my these, to all my theys
To all my ones, to all my O's
I bet you thought I wasn't gonna rip the slit like this (Snap)
Well here it is (Grrr)
It's what it is
To all my he's, to all my she's
To all my it's, to all my thems
To all my these, to all my theys
To all my ones, to all my O's",18,62,0.2903225806451613,154,"Who's that? Who's that?
give it up if thinkin' that could get it
Let in working a a residual
it up, kicking it if put it up, it
it, no need for me to try and it
someone is on the
It's, it's for
To my he's, to my she's
To my it's, to my thems
To my these, to my theys
To my ones, to my O's
I thought I wasn't the like this
Well here it is
It's it is
To my he's, to my she's
To my it's, to my thems
To my these, to my theys
To my ones, to my O's",106
Arca,arca,55972,2376212,Ass Swung Low,"I feel sick
Fuck you, fuck you

I'mma kick that fuckin' face in
Blacklight, wasted
It wasn't by mistake
That I got your mouth kicked in
Sweat, come right, come right, come on
I'll take time to shift
Right hit gets shots, ping pong
Long fall, but who you 'gon call
When you waking? Get the fuck off

Blacklight, wasted
It wasn't by mistake
That I got your mouth kicked in
Sweat right, come right, come right, come on
Long fall, but who you 'gon call
When you waking the fake up to lift off? Uh

I'mma sharpen with my lights off, lovin' you
Do all the things I wanna do
I'mma share my blood with somebody new
Take the rest off, fucking you
If it don't turn out right
Don't feel wronged
With what you always had
Now I'm bringin' it back, with your ass swung low

Mind is messin' with the flow
Turn my sex on, turn my sex off
Turn my sex up, double cup
Thread, ripline, blown, kite flying
Waking all the demons in your way
Enter in mistake
Come back to my place and
Turn deranged, you turn your ball, hold onto faith

The hate dissipates
Are you watchin' my flame?
Well, consider me entertained
Bring it back down
'Cause there used to be a time
When a flat top push and whine

I been givin' it up
Papercut
Blow up while you're pickin' it up
Full of shit underneath
Written all on my face, fresh from the scene
Pink lemonade, get in the limousine
Climbin' on my back
You're feelin' me, right?

Sippin' on scotch, scopin' out the scene
Chasin' all my dreams, I'm about to
Shit, I'm bringin' it back
Doin' you wrong, just like that
Gettin' me strung
Feel it inside out

What the drum shout out
I let the drum shout out
I let the drum shout out
'Cause silence is gone
Let the drum shout out
I let the drum shout out
I let it shout out
I let the drum shout out

Tryna breathe but I choke
Face fronting, move to slow
Don't know where you move but I got that shit
Fire, make ya ass itch
Make ya brain twitch, routine switch
I can give it up, no touch
You better call, call, call, call the fire department

So fast
Make ya shit itch
Make ya head spin
Booty pop lock, tryna find you
Bass swung low, drop your coochie to the floor",https://genius.com/Arca-ass-swung-low-lyrics,,"I feel sick
I'mma kick that fuckin' face in
Blacklight, wasted
It wasn't by mistake
That I got your mouth kicked in
Sweat, come right, come right, come on
I'll take time to shift
Long fall, but who you 'gon call
When you waking? Get the fuck off
Blacklight, wasted
It wasn't by mistake
That I got your mouth kicked in
Sweat right, come right, come right, come on
Long fall, but who you 'gon call
When you waking the fake up to lift off? Uh
I'mma sharpen with my lights off, lovin' you
Do all the things I wanna do
I'mma share my blood with somebody new
Take the rest off, fucking you
If it don't turn out right
Don't feel wronged
With what you always had
Mind is messin' with the flow
Turn my sex on, turn my sex off
Waking all the demons in your way
Enter in mistake
Come back to my place and
'Cause there used to be a time
I been givin' it up
Blow up while you're pickin' it up
Written all on my face, fresh from the scene
Pink lemonade, get in the limousine
You're feelin' me, right?
Chasin' all my dreams, I'm about to
Shit, I'm bringin' it back
Doin' you wrong, just like that
What the drum shout out
I let the drum shout out
I let the drum shout out
'Cause silence is gone
Let the drum shout out
I let the drum shout out
I let it shout out
I let the drum shout out
Tryna breathe but I choke
Face fronting, move to slow
Don't know where you move but I got that shit
I can give it up, no touch
You better call, call, call, call the fire department
Booty pop lock, tryna find you",50,73,0.684931506849315,299,"I feel
kick that in
wasted
It wasn't by mistake
That I got kicked in
on
I'll take to
but
waking? Get the off
wasted
It wasn't by mistake
That I got kicked in
on
but
waking the up to off? Uh
with my off,
Do the things I do
my with somebody
Take the off, fucking
If it don't out
Don't feel wronged
With always had
is with the
my on, my off
Waking the demons in
in mistake
to my place and
there used to be a
I been givin' it up
up you're it up
Written on my from the
get in the limousine
You're feelin' me,
my about to
it
wrong, just like that
the out
I let the out
I let the out
is
Let the out
I let the out
I let it out
I let the out
Tryna but I
fronting, move to
Don't know move but I got that
I can give it up, no
better the department
Booty tryna find",169
Arca,arca,55972,8624294,Ritual,"Run thick, waist thin
Need it, darkness
Need it, seethe it
Teeming with it

Get, get, get, get, get into
Get, get, get, get, get into this
Get, get, get, get, get into
Get, get, get, get, get into this
Get, get, get, get, get into
Get, get, get, get, get, get
Get, get, get, get, get, get it
Get, get, get, gеt into it
Get, get, get, gеt, get, get
Get, get, get, get, get, get
Get, get, get, get, get, get into it
Get, get, get, get, get, get
Get, get, get, get, get, get
Get, get, get, get, get, get into it

Her waist, her
I'm loving that faith, her
Wish, wish, wish, wish, wish upon a star, her
Grrrr, I said a revenant
Run like they can see faith in the darkness
Beat it, seethe it through the veil
Your choice is that
Her waist snatched, her waistline
It's in your figure, happy
Kill it, kill it softly, kill it
Waiting, pushing further
Deeper, inward
To the ceiling of your lips
Riven, riven, riven
R-I-V-E-N
Riv–, riven, riven
She's riven
Crestfallen, riven
R-I-V-E-N

Get, get, get, get
Get, get, get, get, get into it
Get, get, get, get, get, get
Get, get, get, get, get into it
Girl, get, get, get
Girl, get, get, get into it
Get, get, get, get, get, get
Get, get, get, get, get into it
Get, get, get, get

Yeah, you can keep waiting to get into it
Or you can get into it right the fuck now

Get, get, get into it
Get, get, get, get, get, get
Get, get, get, get, get, get
Get, get, get, get, get, get
Get, get, get, get, get, get
Get, get, get, get, get into it, grrr
Get into it, grrr

Grrr, grrr
Oh, my God
Do you hear this nasty fucking beat?
It's too good
It's too, too good
It's too good
It's too good
A ritual, a ritual to you
She  every piece",https://genius.com/Arca-ritual-lyrics,,"Teeming with it
Get, get, get, get, get into
Get, get, get, get, get into this
Get, get, get, get, get into
Get, get, get, get, get into this
Get, get, get, get, get into
Get, get, get, get, get, get
Get, get, get, get, get, get it
Get, get, get, gеt into it
Get, get, get, gеt, get, get
Get, get, get, get, get, get
Get, get, get, get, get, get into it
Get, get, get, get, get, get
Get, get, get, get, get, get
Get, get, get, get, get, get into it
Her waist, her
I'm loving that faith, her
Wish, wish, wish, wish, wish upon a star, her
Grrrr, I said a revenant
Run like they can see faith in the darkness
Beat it, seethe it through the veil
Your choice is that
Her waist snatched, her waistline
It's in your figure, happy
Waiting, pushing further
She's riven
Get, get, get, get
Get, get, get, get, get into it
Get, get, get, get, get, get
Get, get, get, get, get into it
Girl, get, get, get
Girl, get, get, get into it
Get, get, get, get, get, get
Get, get, get, get, get into it
Get, get, get, get
Yeah, you can keep waiting to get into it
Or you can get into it right the fuck now
Get, get, get into it
Get, get, get, get, get, get
Get, get, get, get, get, get
Get, get, get, get, get, get
Get, get, get, get, get, get
Get, get, get, get, get into it, grrr
Get into it, grrr
Do you hear this nasty fucking beat?
It's too good
It's too, too good
It's too good
It's too good
She  every piece",50,64,0.78125,285,"with it
Get, get, get, get, get into
Get, get, get, get, get into this
Get, get, get, get, get into
Get, get, get, get, get into this
Get, get, get, get, get into
Get, get, get, get, get, get
Get, get, get, get, get, get it
Get, get, get, into it
Get, get, get, get, get
Get, get, get, get, get, get
Get, get, get, get, get, get into it
Get, get, get, get, get, get
Get, get, get, get, get, get
Get, get, get, get, get, get into it
Her her
loving that her
Wish, wish, wish, wish, wish a her
I said a
like they can see in the
it, seethe it through the
choice is that
Her snatched, her
It's in figure, happy
Waiting, pushing further
She's
Get, get, get, get
Get, get, get, get, get into it
Get, get, get, get, get, get
Get, get, get, get, get into it
get, get, get
get, get, get into it
Get, get, get, get, get, get
Get, get, get, get, get into it
Get, get, get, get
can keep waiting to get into it
Or can get into it the
Get, get, get into it
Get, get, get, get, get, get
Get, get, get, get, get, get
Get, get, get, get, get, get
Get, get, get, get, get, get
Get, get, get, get, get into it,
Get into it,
Do this nasty fucking
It's
It's
It's
It's
She every piece",243
